Id,Ranking,Name,Release_Date,Run_Time,IMDB_Rating
1,1,"The Shawshank Redemption",1994,"2h 22m",9.3
2,2,"The Godfather",1972,"2h 55m",9.2
3,3,"The Dark Knight",2008,"2h 32m",9.1
4,4,"The Godfather Part II",1974,"3h 22m",9.0
5,5,"12 Angry Men",1957,"1h 36m",9.0
6,6,"The Lord of the Rings: The Return of the King",2003,"3h 21m",9.0
7,7,"Schindler's List",1993,"3h 15m",9.0
8,8,"The Lord of the Rings: The Fellowship of the Ring",2001,"2h 58m",8.9
9,9,"Pulp Fiction",1994,"2h 34m",8.8
10,10,"The Good, the Bad and the Ugly",1966,"2h 28m",8.8
11,11,"The Lord of the Rings: The Two Towers",2002,"2h 59m",8.8
12,12,"Forrest Gump",1994,"2h 22m",8.8
13,13,Inception,1999,"2h 19m",8.8
14,14,"Star Wars: Episode V - The Empire Strikes Back",2010,"2h 28m",8.7
15,15,"The Matrix",1980,"2h 4m",8.7
16,16,Interstellar,1999,"2h 16m",8.7
17,17,GoodFellas,2014,"2h 49m",8.7
18,18,"One Flew Over the Cuckoo's Nest",1990,"2h 25m",8.6
19,19,Seven,1975,"2h 13m",8.6
20,20,"It's a Wonderful Life",1995,"2h 7m",8.6
21,21,"The Silence of the Lambs",1946,"2h 10m",8.6
22,22,"Saving Private Ryan",1991,"1h 58m",8.6
23,23,"Seven Samurai",1998,"2h 49m",8.6
24,24,"The Green Mile",1954,"3h 27m",8.6
25,25,"City of God",1999,"3h 9m",8.6
26,26,"Life Is Beautiful",2002,"2h 10m",8.6
27,27,"Terminator 2: Judgment Day",1997,"1h 56m",8.6
28,28,"Back to the Future",1991,"2h 17m",8.5
29,29,"Star Wars: Episode IV - A New Hope",1985,"1h 56m",8.6
30,30,"Kill Bill: The Whole Bloody Affair",1977,"2h 1m",8.7
31,31,"Spirited Away",2004,"4h 13m",8.6
32,32,Gladiator,2001,"2h 4m",8.5
33,33,"The Pianist",2000,"2h 35m",8.5
34,34,Parasite,2002,"2h 30m",8.5
35,35,"Grave of the Fireflies",2019,"2h 12m",8.5
36,36,Psycho,1988,"1h 28m",8.5
37,37,"The Lion King",1960,"1h 49m",8.5
38,38,Harakiri,1994,"1h 28m",8.6
39,39,"The Departed",1962,"2h 13m",8.5
40,40,Whiplash,2006,"2h 31m",8.5
41,41,"The Prestige",2014,"1h 46m",8.5
42,42,"American History X",2006,"2h 10m",8.5
43,43,Leon,1998,"1h 59m",8.5
44,44,"Spider-Man: Across the Spider-Verse",1994,"1h 50m",8.5
45,45,"Cinema Paradiso",2023,"2h 20m",8.5
46,46,Casablanca,1988,"2h 54m",8.5
47,47,Untouchable,1942,"1h 42m",8.5
48,48,"The Usual Suspects",2011,"1h 52m",8.5
49,49,"Django Unchained",1995,"1h 46m",8.5
50,50,Alien,2012,"2h 45m",8.4
51,51,"Rear Window",1979,"1h 57m",8.4
52,52,"Modern Times",1954,"1h 52m",8.5
53,53,"Once Upon a Time in the West",1936,"1h 27m",8.5
54,54,"City Lights",1968,"2h 46m",8.5
55,55,"Apocalypse Now",1931,"1h 27m",8.4
56,56,Memento,2008,"1h 38m",8.4
57,57,"Dune: Part Two",1979,"2h 27m",8.4
58,58,"Avengers: Infinity War",2000,"1h 53m",8.4
59,59,"Raiders of the Lost Ark",2024,"2h 46m",8.4
60,60,"The Lives of Others",2018,"2h 29m",8.4
61,61,"Spider-Man: Into the Spider-Verse",1981,"1h 55m",8.4
62,62,"Sunset Boulevard",2006,"2h 17m",8.4
63,63,"Witness for the Prosecution",2018,"1h 57m",8.4
64,64,"Paths of Glory",1950,"1h 50m",8.4
65,65,"The Shining",1957,"1h 56m",8.4
66,66,"The Great Dictator",1957,"1h 28m",8.4
67,67,"Inglourious Basterds",1980,"2h 26m",8.4
68,68,Aliens,1940,"2h 5m",8.4
69,69,"12th Fail",2009,"2h 33m",8.7
70,70,"High and Low",1986,"2h 17m",8.4
71,71,"Avengers: Endgame",2023,"2h 27m",8.4
72,72,"Good Will Hunting",1963,"2h 23m",8.4
73,73,Coco,2019,"3h 1m",8.4
74,74,Amadeus,1997,"2h 6m",8.4
75,75,"Toy Story",2012,"2h 44m",8.3
76,76,"Your Name.",2017,"1h 45m",8.4
77,77,"Das Boot",1984,"2h 40m",8.3
78,78,Braveheart,1995,"1h 21m",8.3
79,79,"Princess Mononoke",2016,"1h 46m",8.3
80,80,Oldboy,1981,"2h 29m",8.3
81,81,"3 Idiots",1995,"2h 58m",8.4
